,unix_ts,timestamp,total_calls,marcadores,dest_nums,dest_nums_flat,avg_dur,avg_dur_flat,nums_bloq,dur_iter
21,1732727082.243769,2024-11-27 12:04:42.243769,568044,2,72464,21395,308.61235642576185,166.62530112190163,1,
22,1732727382.279095,2024-11-27 12:09:42.279095,568364,2,72465,21401,308.6169875780216,166.68445858158162,1,
23,1732727736.504873,2024-11-27 12:15:36.504873,568686,2,72465,21395,308.6218707939488,166.61655394505678,1,
24,1732728036.385836,2024-11-27 12:20:36.385836,568935,2,72465,21399,308.65848661699306,166.6155636436417,1,
25,1732728336.563646,2024-11-27 12:25:36.563646,569197,2,72466,21395,308.6869578207021,166.70091507164796,1,
26,1732728636.513503,2024-11-27 12:30:36.513503,569458,2,72467,21393,308.70020736257067,166.59749955496076,1,
27,1732728936.727688,2024-11-27 12:35:36.727688,569686,2,72468,21384,308.73530802131427,166.53752190867698,1,
28,1732729236.387715,2024-11-27 12:40:36.387715,569989,2,72469,21378,308.78990411500354,166.5182271569752,1,
29,1732729536.654145,2024-11-27 12:45:36.654145,570267,2,72469,21378,308.8538579953963,166.49501872385295,1,
30,1732729836.48807,2024-11-27 12:50:36.488070,570575,2,72470,21370,308.92052872336086,166.56006201041947,1,
31,1732730136.709736,2024-11-27 12:55:36.709736,570852,2,72470,21370,308.982979302986,166.52257700783943,1,
32,1732730436.658158,2024-11-27 13:00:36.658158,571133,2,72470,21369,309.0284045161989,166.5016122773036,1,
33,1732730736.616296,2024-11-27 13:05:36.616296,571457,2,72470,21363,309.0551230402308,166.35051080977567,1,
34,1732731036.514282,2024-11-27 13:10:36.514282,571738,2,72470,21365,309.0750341322009,166.3942234756887,1,
35,1732731336.629237,2024-11-27 13:15:36.629237,571997,2,72470,21366,309.0973588700272,166.3768578153093,1,
36,1732731636.4975,2024-11-27 13:20:36.497500,572265,2,72471,21368,309.1230067856454,166.36157439863646,1,
37,1732731936.617627,2024-11-27 13:25:36.617627,572511,2,72472,21360,309.11527414182706,166.38861755556823,1,
38,1732732236.742613,2024-11-27 13:30:36.742613,572768,2,72472,21366,309.1140143226976,166.39460135326723,1,
39,1732732536.534681,2024-11-27 13:35:36.534681,573020,2,72472,21361,309.1095881268664,166.4553472567765,1,
40,1732732836.726536,2024-11-27 13:40:36.726536,573258,2,72473,21353,309.15411679067904,166.38918675110978,1,
41,1732733136.877354,2024-11-27 13:45:36.877354,573744,2,72473,21339,309.2016665800284,166.15042123133904,1,
42,1732733437.054553,2024-11-27 13:50:37.054553,573962,2,72474,21340,309.2054943756883,166.16894978493184,1,
43,1732733737.095448,2024-11-27 13:55:37.095448,574203,2,72474,21331,309.2047883146753,166.09514450788743,1,
44,1732734036.828309,2024-11-27 14:00:36.828309,574491,2,72475,21339,309.20740961621215,166.1210186400543,1,
45,1732734336.650088,2024-11-27 14:05:36.650088,574771,2,72475,21335,309.20467972887513,166.10616986221478,1,
46,1732734636.733389,2024-11-27 14:10:36.733389,575106,2,72475,21320,309.2122619211881,166.15118208922235,1,
47,1732734936.679711,2024-11-27 14:15:36.679711,575439,2,72475,21327,309.24274193749125,166.20684784865898,1,
