calledstation,real_sessiontime,num_llamadas,dur_prom,std_lst_2,mean_lst_2,flat_ratio
18004527171,25154,19,1323.8947368421052,0.7071067811865476,599.5,0.0011794942138224312
18339072493,32023,18,1779.0555555555557,2.8284271247461903,2120.0,0.0013341637380878256
18553721368,21996,18,1222.0,0.0,30.0,0.0
18662418731,19271,18,1070.611111111111,0.0,63.0,0.0
18002753861,17491,18,971.7222222222222,0.0,883.0,0.0
18777897008,15503,18,861.2777777777778,0.0,907.0,0.0
18008894447,14908,18,828.2222222222222,0.0,71.0,0.0
18662989848,13863,18,770.1666666666666,0.0,84.0,0.0
18004570630,9251,18,513.9444444444445,0.0,26.0,0.0
18009009798,7100,18,394.44444444444446,0.7071067811865476,511.5,0.0013824179495338174
18889592028,5812,18,322.8888888888889,0.0,643.0,0.0
18777766606,5132,18,285.1111111111111,0.0,414.0,0.0
18007767712,5068,18,281.55555555555554,0.0,67.0,0.0
18778877717,5042,18,280.1111111111111,0.0,365.0,0.0
18779894595,4732,18,262.8888888888889,0.0,68.0,0.0
18776616750,4157,18,230.94444444444446,0.0,465.0,0.0
18555010357,3247,18,180.38888888888889,0.0,179.0,0.0
18665744952,3218,18,178.77777777777777,0.0,120.0,0.0
18775146397,3065,18,170.27777777777777,0.0,86.0,0.0
18884076173,2842,18,157.88888888888889,0.0,133.0,0.0
18889921769,2681,18,148.94444444444446,0.0,339.0,0.0
18007835700,2643,18,146.83333333333334,0.0,23.0,0.0
18775340414,2638,18,146.55555555555554,0.0,46.0,0.0
18558635217,2417,18,134.27777777777777,0.0,139.0,0.0
18668506945,2130,18,118.33333333333333,0.0,124.0,0.0
18007456900,2057,18,114.27777777777777,0.0,75.0,0.0
18668256298,1879,18,104.38888888888889,0.0,112.0,0.0
18003856838,1688,18,93.77777777777777,0.0,94.0,0.0
18009669199,1500,18,83.33333333333333,0.0,65.0,0.0
18003187877,1438,18,79.88888888888889,0.0,55.0,0.0
18003239268,1420,18,78.88888888888889,0.0,60.0,0.0
18882501730,1409,18,78.27777777777777,0.0,192.0,0.0
18887773777,1399,18,77.72222222222223,0.0,119.0,0.0
18882788911,1043,18,57.94444444444444,0.0,77.0,0.0
18882120579,714,18,39.666666666666664,0.0,33.0,0.0
18884339008,492,18,27.333333333333332,0.0,26.0,0.0
18007936919,241,18,13.38888888888889,0.0,14.0,0.0
18555224330,92,18,5.111111111111111,0.0,5.0,0.0
18775743611,31845,17,1873.235294117647,1.4142135623730951,2382.0,0.0005937084644723321
18442870777,31003,17,1823.7058823529412,2.8284271247461903,2213.0,0.0012780963058048758
18668478878,30601,17,1800.0588235294117,2.8284271247461903,1914.0,0.001477757118467184
18777133164,27748,17,1632.235294117647,1.4142135623730951,1656.0,0.0008539936970852024
18002215175,26465,17,1556.764705882353,0.7071067811865476,690.5,0.0010240503710159995
18552083575,25602,17,1506.0,0.7071067811865476,1811.5,0.00039034324106350957
18448737069,24315,17,1430.2941176470588,0.7071067811865476,1798.5,0.00039316473794081045
18777714629,24268,17,1427.5294117647059,1.4142135623730951,1798.0,0.0007865481437002754
18007343717,23068,17,1356.9411764705883,0.0,45.0,0.0
18665326440,22628,17,1331.0588235294117,0.7071067811865476,1848.5,0.00038253004121533546
18552575291,20898,17,1229.2941176470588,0.7071067811865476,907.5,0.0007791810261008788
18557439331,19244,17,1132.0,0.7071067811865476,1858.5,0.0003804717681929231
18666824547,14243,17,837.8235294117648,0.0,31.0,0.0
18778682064,12749,17,749.9411764705883,0.0,37.0,0.0
18009038065,12200,17,717.6470588235294,0.0,23.0,0.0
18003874268,12014,17,706.7058823529412,0.0,389.0,0.0
18664833738,11380,17,669.4117647058823,0.0,121.0,0.0
18006760769,10456,17,615.0588235294117,0.0,70.0,0.0
18662338011,10267,17,603.9411764705883,0.0,37.0,0.0
18009320507,9658,17,568.1176470588235,0.0,10.0,0.0
18885321454,8164,17,480.2352941176471,0.0,37.0,0.0
18006383446,7909,17,465.2352941176471,0.0,5.0,0.0
18772293120,7811,17,459.47058823529414,0.7071067811865476,585.5,0.0012076973205577242
18555952999,7304,17,429.6470588235294,0.0,639.0,0.0
18553193547,7079,17,416.4117647058824,0.0,50.0,0.0
18883239613,6561,17,385.94117647058823,0.0,681.0,0.0
18009156013,6470,17,380.5882352941176,0.0,39.0,0.0
18338485053,6058,17,356.3529411764706,0.0,105.0,0.0
18662157501,6020,17,354.11764705882354,0.0,37.0,0.0
18008380028,5903,17,347.2352941176471,0.0,574.0,0.0
18885314648,5465,17,321.47058823529414,0.0,37.0,0.0
18005331866,5409,17,318.1764705882353,0.7071067811865476,732.5,0.0009653334896744677
18009890425,5176,17,304.47058823529414,0.0,308.0,0.0
18888978109,5122,17,301.29411764705884,0.0,303.0,0.0
18555744878,5103,17,300.1764705882353,0.0,295.0,0.0
18004236565,5062,17,297.7647058823529,0.0,395.0,0.0
18663413646,4965,17,292.05882352941177,0.0,336.0,0.0
18005076197,4904,17,288.47058823529414,0.0,90.0,0.0
18008221247,4744,17,279.05882352941177,0.0,573.0,0.0
18887615879,4597,17,270.4117647058824,0.0,15.0,0.0
18885120508,4556,17,268.0,0.0,367.0,0.0
18885021502,4130,17,242.94117647058823,0.7071067811865476,595.5,0.0011874169289446642
18446743302,4071,17,239.47058823529412,0.0,120.0,0.0
18774574567,4000,17,235.2941176470588,0.0,353.0,0.0
18448246452,3987,17,234.52941176470588,0.0,598.0,0.0
18442841292,3963,17,233.11764705882354,0.0,104.0,0.0
18443245680,3831,17,225.35294117647058,0.0,72.0,0.0
